name,date,score
Anthony Hopkins,1988,5.8
Anthony Hopkins,1988,6.9
Anthony Hopkins,1988,6.9
Anthony Hopkins,1988,6.1
Anthony Hopkins,1987,7.4
Anthony Hopkins,1985,6.3
Anthony Hopkins,1985,6.2
Anthony Hopkins,1985,6.5
Anthony Hopkins,1985,6.3
Anthony Hopkins,1984,5.5
Anthony Hopkins,1984,7.0
Anthony Hopkins,1984,7.1
Anthony Hopkins,1983,7.5
Anthony Hopkins,1965,6.9
Anthony Hopkins,1982,6.3
Anthony Hopkins,1981,7.1
Anthony Hopkins,1981,7.6
Anthony Hopkins,1981,6.8
Anthony Hopkins,1980,5.2
Anthony Hopkins,1980,8.2
Anthony Hopkins,1979,5.8
Anthony Hopkins,1978,6.8
Anthony Hopkins,1978,5.8
Anthony Hopkins,1977,7.4
Anthony Hopkins,1977,5.8
Anthony Hopkins,1976,5.9
Anthony Hopkins,1976,6.7
Anthony Hopkins,1976,6.6
Anthony Hopkins,1975,6.4
Anthony Hopkins,1974,6.3
Anthony Hopkins,1967,7.3
Anthony Hopkins,1974,6.6
Anthony Hopkins,1959,6.9
Anthony Hopkins,1974,5.2
Anthony Hopkins,1970,7.8
Anthony Hopkins,1974,7.5
Anthony Hopkins,1974,7.7
Anthony Hopkins,1973,7.1
Anthony Hopkins,1973,6.4
Anthony Hopkins,1972,8.2
Anthony Hopkins,1972,6.8
Anthony Hopkins,1972,6.7
Anthony Hopkins,1972,6.9
Anthony Hopkins,1971,7.0
Anthony Hopkins,1971,6.8
Anthony Hopkins,1971,6.0
Anthony Hopkins,1970,7.0
Anthony Hopkins,1970,6.9
Anthony Hopkins,1970,5.8
Anthony Hopkins,1969,6.8
Anthony Hopkins,1969,7.0
Anthony Hopkins,1969,6.2
Anthony Hopkins,1969,7.2
Anthony Hopkins,1968,6.8
Anthony Hopkins,1968,7.9
Anthony Hopkins,1967,6.4
Anthony Hopkins,1967,7.3
Anthony Hopkins,1965,6.1
Anthony Hopkins,1965,7.4
Anthony Hopkins,1960,8.0
Al Pacino,2023,7.4
Al Pacino,2023,7.2
Al Pacino,2020,7.2
Al Pacino,2021,6.6
Al Pacino,2021,5.7
Al Pacino,2019,7.8
Al Pacino,2019,7.6
Al Pacino,2018,6.5
Al Pacino,2017,5.2
Al Pacino,2017,6.7
Al Pacino,2016,5.3
Al Pacino,2015,7.0
Al Pacino,2014,5.5
Al Pacino,2014,5.6
Al Pacino,2013,7.8
Al Pacino,2013,6.3
Al Pacino,2013,6.2
Al Pacino,2013,4.8
Al Pacino,2012,6.4
Al Pacino,2011,3.3
Al Pacino,2011,5.1
Al Pacino,2010,7.5
Al Pacino,2008,6.0
Al Pacino,2007,6.9
Al Pacino,2007,5.9
Al Pacino,2006,8.8
Al Pacino,2005,6.2
Al Pacino,2004,7.0
Al Pacino,2003,8.1
Al Pacino,2003,2.6
Al Pacino,2003,6.6
Al Pacino,2002,5.4
Al Pacino,2002,6.1
Al Pacino,2002,7.2
Al Pacino,2000,7.1
Al Pacino,1999,6.9
Al Pacino,1999,7.8
Al Pacino,1997,7.5
Al Pacino,1997,7.7
Al Pacino,1996,6.2
Al Pacino,1995,8.3
Al Pacino,1995,6.1
Al Pacino,1993,7.9
Al Pacino,1992,8.0
Al Pacino,1992,7.7
Al Pacino,1991,6.7
Al Pacino,1990,7.6
Al Pacino,1990,6.2
Al Pacino,1990,5.6
Al Pacino,1989,6.8
Al Pacino,1985,5.3
Al Pacino,1983,8.3
Al Pacino,1982,6.2
Al Pacino,1980,6.5
Al Pacino,1979,7.4
Al Pacino,1977,9.5
Al Pacino,1977,5.8
Al Pacino,1975,8.0
Al Pacino,1974,9.0
Al Pacino,1973,7.7
Al Pacino,1973,7.2
Al Pacino,1972,9.2
Al Pacino,1971,7.1
Al Pacino,1969,6.4
Al Pacino,1967,7.4
Daniel Day-Lewis,2018,7.7
Daniel Day-Lewis,2017,7.4
Daniel Day-Lewis,2012,7.3
Daniel Day-Lewis,2009,5.8
Daniel Day-Lewis,2007,8.2
Daniel Day-Lewis,2005,6.5
Daniel Day-Lewis,2002,7.5
Daniel Day-Lewis,1997,7.0
Daniel Day-Lewis,1996,6.8
Daniel Day-Lewis,1993,8.1
Daniel Day-Lewis,1993,7.2
Daniel Day-Lewis,1992,7.7
Daniel Day-Lewis,1989,5.4
Daniel Day-Lewis,1989,7.8
Daniel Day-Lewis,1988,4.8
Daniel Day-Lewis,1988,7.3
Daniel Day-Lewis,1986,5.9
Daniel Day-Lewis,1985,6.3
Daniel Day-Lewis,1985,7.2
Daniel Day-Lewis,1985,7.3
Daniel Day-Lewis,1985,6.8
Daniel Day-Lewis,1984,7.0
Daniel Day-Lewis,1965,6.9
Daniel Day-Lewis,1982,8.0
Daniel Day-Lewis,1982,7.5
Daniel Day-Lewis,1973,6.8
Daniel Day-Lewis,1981,5.6
Daniel Day-Lewis,1981,5.9
Daniel Day-Lewis,1979,7.5
Daniel Day-Lewis,1971,7.0
Morgan Freeman,2023,5.4
Morgan Freeman,2023,7.7
Morgan Freeman,2023,8.0
Morgan Freeman,2023,7.1
Morgan Freeman,2023,4.3
Morgan Freeman,2022,4.5
Morgan Freeman,2022,5.7
Morgan Freeman,2021,6.1
Morgan Freeman,2018,8.2
Morgan Freeman,2021,6.0
Morgan Freeman,2021,3.0
Morgan Freeman,2021,5.3
Morgan Freeman,2020,5.7
Morgan Freeman,2019,7.4
Morgan Freeman,2020,7.0
Morgan Freeman,2020,4.8
Morgan Freeman,2019,6.4
Morgan Freeman,2019,4.8
Morgan Freeman,2018,5.6
Morgan Freeman,2018,7.2
Morgan Freeman,2018,6.6
Morgan Freeman,2017,4.6
Morgan Freeman,2014,7.8
Morgan Freeman,2017,6.6
Morgan Freeman,2016,5.7
Morgan Freeman,2016,6.4
Morgan Freeman,2016,5.9
Morgan Freeman,2016,3.0
Morgan Freeman,2015,5.5
Morgan Freeman,2015,6.3
Morgan Freeman,2015,6.2
Morgan Freeman,2014,6.0
Morgan Freeman,2014,6.4
Morgan Freeman,2014,6.2
Morgan Freeman,2014,6.4
Morgan Freeman,2014,7.2
Morgan Freeman,2014,6.2
Morgan Freeman,2014,7.7
Morgan Freeman,2013,6.6
Morgan Freeman,2013,7.2
Morgan Freeman,2013,7.0
Morgan Freeman,2013,6.5
Morgan Freeman,2012,8.4
Morgan Freeman,2012,6.9
Morgan Freeman,2011,6.8
Morgan Freeman,2011,5.1
Morgan Freeman,2010,7.0
Morgan Freeman,2009,8.8
Morgan Freeman,2009,7.3
Morgan Freeman,2009,6.0
Morgan Freeman,2009,6.0
Morgan Freeman,2008,9.0
Morgan Freeman,2008,6.7
Morgan Freeman,2008,6.6
Morgan Freeman,2007,7.4
Morgan Freeman,2007,6.5
Morgan Freeman,2007,7.6
Morgan Freeman,2007,5.4
Morgan Freeman,2006,5.6
Morgan Freeman,2006,6.5
Morgan Freeman,2006,7.7
Morgan Freeman,2005,7.6
Morgan Freeman,2005,6.9
Morgan Freeman,2005,7.0
Morgan Freeman,2005,5.3
Morgan Freeman,2005,8.2
Morgan Freeman,2005,6.5
Morgan Freeman,2005,8.2
Morgan Freeman,2005,7.5
Morgan Freeman,2005,7.0
Morgan Freeman,2004,5.1
Morgan Freeman,2004,8.1
Morgan Freeman,2004,5.2
Morgan Freeman,2004,4.9
Morgan Freeman,2003,5.7
Morgan Freeman,2003,2.3
Morgan Freeman,2003,6.8
Morgan Freeman,2003,5.5
Morgan Freeman,2003,6.4
Morgan Freeman,1987,8.6
Morgan Freeman,2002,6.4
Morgan Freeman,2002,6.4
Morgan Freeman,2001,6.2
Morgan Freeman,2001,6.4
Morgan Freeman,1985,8.2
Morgan Freeman,2000,6.3
Morgan Freeman,2000,6.4
Morgan Freeman,1998,6.2
Morgan Freeman,1998,5.9
Morgan Freeman,1997,7.3
Morgan Freeman,1997,6.6
Morgan Freeman,1996,5.6
Morgan Freeman,1996,6.4
Morgan Freeman,1995,8.6
Morgan Freeman,1995,6.6
Morgan Freeman,1994,9.3
Morgan Freeman,1992,5.3
Morgan Freeman,1992,8.2
Morgan Freeman,1992,7.1
Morgan Freeman,1992,4.3
Morgan Freeman,1991,5.8
Morgan Freeman,1991,6.9
Morgan Freeman,1990,5.6
Morgan Freeman,1990,9.0
Morgan Freeman,1990,5.8
Morgan Freeman,1989,7.8
Morgan Freeman,1989,7.3
Morgan Freeman,1989,6.1
Morgan Freeman,1989,7.4
Morgan Freeman,1988,6.7
Morgan Freeman,1988,4.9
Morgan Freeman,1987,5.8
Morgan Freeman,1987,6.4
Morgan Freeman,1986,6.4
Morgan Freeman,1985,5.7
Morgan Freeman,1985,7.7
Morgan Freeman,1971,7.9
Morgan Freeman,1985,6.1
Morgan Freeman,1985,6.7
Morgan Freeman,1985,6.7
Morgan Freeman,1984,6.1
Morgan Freeman,1984,5.8
Morgan Freeman,1964,7.0
Morgan Freeman,1981,4.4
Morgan Freeman,1981,7.7
Morgan Freeman,1980,7.4
Morgan Freeman,1975,7.2
Morgan Freeman,1981,5.9
Morgan Freeman,1980,7.1
Morgan Freeman,1980,7.1
Morgan Freeman,1980,6.5
Morgan Freeman,1979,6.7
Morgan Freeman,1979,5.8
Morgan Freeman,1979,6.2
Morgan Freeman,1976,5.7
Morgan Freeman,1978,5.6
Morgan Freeman,1971,8.1
Morgan Freeman,1969,8.1
Morgan Freeman,1973,5.3
Morgan Freeman,1971,5.9
Morgan Freeman,1970,3.6
Morgan Freeman,1965,6.5
Morgan Freeman,1968,5.8
Morgan Freeman,1966,6.6
Morgan Freeman,1964,7.7
Robert De Niro,2023,7.9
Robert De Niro,2023,6.7
Robert De Niro,2023,5.7
Robert De Niro,2023,7.7
Robert De Niro,2022,4.7
Robert De Niro,2022,6.1
Robert De Niro,2020,5.7
Robert De Niro,2020,6.8
Robert De Niro,2020,5.6
Robert De Niro,2019,7.8
Robert De Niro,2019,8.4
Robert De Niro,1975,8.0
Robert De Niro,2017,6.8
Robert De Niro,2016,5.8
Robert De Niro,2016,6.6
Robert De Niro,2016,5.9
Robert De Niro,2015,6.6
Robert De Niro,2015,6.1
Robert De Niro,2015,6.8
Robert De Niro,2015,6.6
Robert De Niro,2015,7.1
Robert De Niro,2014,5.2
Robert De Niro,2013,6.4
Robert De Niro,2013,7.2
Robert De Niro,2013,6.6
Robert De Niro,2013,6.3
Robert De Niro,2013,5.4
Robert De Niro,2013,5.6
Robert De Niro,2012,7.7
Robert De Niro,2012,4.7
Robert De Niro,2012,6.4
Robert De Niro,2012,6.2
Robert De Niro,2011,5.6
Robert De Niro,2011,6.4
Robert De Niro,2011,5.5
Robert De Niro,2011,5.3
Robert De Niro,2011,5.0
Robert De Niro,2011,7.4
Robert De Niro,2011,5.9
Robert De Niro,2006,8.3
Robert De Niro,2010,5.5
Robert De Niro,2010,5.4
Robert De Niro,2010,6.6
Robert De Niro,2009,7.1
Robert De Niro,2008,6.0
Robert De Niro,2008,5.6
Robert De Niro,2007,7.6
Robert De Niro,2007,4.9
Robert De Niro,2006,6.7
Robert De Niro,2006,6.0
Robert De Niro,2005,8.3
Robert De Niro,2005,3.1
Robert De Niro,2005,5.9
Robert De Niro,2004,5.0
Robert De Niro,2004,6.3
Robert De Niro,2004,6.0
Robert De Niro,2004,4.8
Robert De Niro,2002,5.9
Robert De Niro,2002,6.1
Robert De Niro,2002,6.1
Robert De Niro,2002,5.5
Robert De Niro,2001,6.6
Robert De Niro,2001,7.1
Robert De Niro,2001,6.4
Robert De Niro,2001,6.8
Robert De Niro,2001,6.1
Robert De Niro,2000,7.0
Robert De Niro,2000,7.2
Robert De Niro,2000,4.3
Robert De Niro,1999,6.4
Robert De Niro,1999,5.4
Robert De Niro,1999,6.7
Robert De Niro,1998,7.2
Robert De Niro,1998,6.8
Robert De Niro,1997,7.1
Robert De Niro,1997,7.5
Robert De Niro,1997,7.0
Robert De Niro,1996,6.7
Robert De Niro,1996,7.5
Robert De Niro,1996,5.9
Robert De Niro,1995,8.3
Robert De Niro,1995,8.2
Robert De Niro,1995,6.5
Robert De Niro,1994,6.3
Robert De Niro,1993,7.8
Robert De Niro,1993,7.3
Robert De Niro,1993,6.2
Robert De Niro,1992,5.8
Robert De Niro,1992,5.4
Robert De Niro,1991,7.3
Robert De Niro,1991,6.7
Robert De Niro,1991,6.6
Robert De Niro,1990,7.8
Robert De Niro,1990,8.7
Robert De Niro,1990,6.3
Robert De Niro,1989,6.1
Robert De Niro,1989,6.4
Robert De Niro,1988,7.5
Robert De Niro,1987,7.9
Robert De Niro,1987,7.8
Robert De Niro,1986,7.4
Robert De Niro,1985,7.9
Robert De Niro,1984,6.5
Robert De Niro,1984,8.3
Robert De Niro,1982,7.8
Robert De Niro,1981,6.3
Robert De Niro,1980,8.1
Robert De Niro,1978,8.1
Robert De Niro,1977,9.5
Robert De Niro,1977,6.6
Robert De Niro,1976,6.2
Robert De Niro,1976,7.7
Robert De Niro,1976,8.2
Robert De Niro,1974,9.0
Robert De Niro,1973,7.2
Robert De Niro,1973,6.8
Robert De Niro,1971,5.7
Robert De Niro,1971,4.0
Robert De Niro,1970,6.1
Robert De Niro,1970,5.7
Robert De Niro,1969,3.4
Robert De Niro,1969,4.7
Robert De Niro,1968,5.7
Robert De Niro,1968,5.5
Robert De Niro,1965,6.5
Robert De Niro,1965,6.4
Denzel Washington,2023,6.8
Denzel Washington,2021,7.1
Denzel Washington,2021,6.3
Denzel Washington,2018,6.7
Denzel Washington,2016,7.2
Denzel Washington,2016,6.9
Denzel Washington,2014,7.2
Denzel Washington,2013,6.7
Denzel Washington,2012,7.3
Denzel Washington,2012,6.7
Denzel Washington,2010,6.8
Denzel Washington,2010,6.8
Denzel Washington,2009,6.4
Denzel Washington,2007,7.5
Denzel Washington,2007,7.8
Denzel Washington,2006,7.1
Denzel Washington,2006,7.6
Denzel Washington,2004,6.6
Denzel Washington,2004,7.7
Denzel Washington,2003,6.5
Denzel Washington,2002,7.3
Denzel Washington,2002,7.1
Denzel Washington,2001,7.7
Denzel Washington,2000,7.8
Denzel Washington,1999,7.6
Denzel Washington,1999,6.7
Denzel Washington,1998,6.4
Denzel Washington,1998,6.9
Denzel Washington,1998,7.0
Denzel Washington,1995,6.8
Denzel Washington,1997,5.3
Denzel Washington,1996,5.7
Denzel Washington,1996,6.6
Denzel Washington,1995,6.8
Denzel Washington,1995,5.5
Denzel Washington,1995,7.3
Denzel Washington,1993,7.7
Denzel Washington,1993,6.6
Denzel Washington,1993,6.5
Denzel Washington,1993,7.3
Denzel Washington,1992,7.7
Denzel Washington,1987,8.6
Denzel Washington,1971,7.9
Denzel Washington,1991,5.2
Denzel Washington,1991,6.2
Denzel Washington,1991,6.7
Denzel Washington,1990,6.7
Denzel Washington,1990,5.5
Denzel Washington,1989,7.8
Denzel Washington,1989,6.0
Denzel Washington,1982,8.0
Denzel Washington,1988,5.6
Denzel Washington,1987,7.4
Denzel Washington,1986,6.0
Denzel Washington,1986,5.7
Denzel Washington,1984,7.2
Denzel Washington,1984,5.5
Denzel Washington,1981,5.6
Denzel Washington,1979,6.7
Denzel Washington,1979,6.4
Denzel Washington,1977,6.1
Jack Nicholson,2010,5.4
Jack Nicholson,2010,6.2
Jack Nicholson,2007,7.4
Jack Nicholson,2007,4.9
Jack Nicholson,2006,8.5
Jack Nicholson,2004,6.7
Jack Nicholson,2003,6.7
Jack Nicholson,2003,6.2
Jack Nicholson,2002,7.2
Jack Nicholson,2001,6.8
Jack Nicholson,1997,7.7
Jack Nicholson,1996,6.4
Jack Nicholson,1996,5.9
Jack Nicholson,1996,6.0
Jack Nicholson,1995,6.3
Jack Nicholson,1994,6.3
Jack Nicholson,1992,6.6
Jack Nicholson,1992,4.7
Jack Nicholson,1990,6.1
Jack Nicholson,1989,7.5
Jack Nicholson,1987,6.7
Jack Nicholson,1987,7.3
Jack Nicholson,1987,7.8
Jack Nicholson,1987,6.5
Jack Nicholson,1986,6.1
Jack Nicholson,1985,6.7
Jack Nicholson,1983,7.4
Jack Nicholson,1982,6.4
Jack Nicholson,1981,7.3
Jack Nicholson,1981,6.6
Jack Nicholson,1980,8.4
